scenario_id,condition,repeat_id,js_to_reference,js_to_canonical,baseline_js,delta_js_vs_canonical
20260811-037,equiv-evidence-first,1,0.0009170157064771944,5.3342648883423584e-06,0.0007884630423243723,0.00012855266415282213
20260811-037,equiv-evidence-first,0,0.0009170157064771927,5.3342648883426295e-06,0.0007884630423243723,0.0001285526641528204
20260811-036,ablate-definitions,1,0.11782055735793555,0.011690559931564624,0.05981512957008624,0.05800542778784931
20260811-037,ablate-definitions,0,0.0017898181305446878,0.00022609239581028654,0.0007884630423243723,0.0010013550882203154
20260811-036,ablate-evidence,0,0.5009043300398208,0.27058184636784277,0.05981512957008624,0.4410892004697346
20260811-036,ablate-evidence,1,0.49873113512381445,0.26877168397530893,0.05981512957008624,0.43891600555372823
20260811-036,equiv-evidence-first,1,0.04869079011212753,0.0007188013141002706,0.05981512957008624,-0.01112433945795871
20260811-036,equiv-prose,0,0.040108997299826726,0.004481446811563669,0.05981512957008624,-0.01970613227025951
20260811-036,equiv-prose,1,0.03949986269848889,0.00488194515030929,0.05981512957008624,-0.02031526687159735
20260811-037,equiv-prose,0,0.0007884630008896756,3.4988775546053464e-19,0.0007884630423243723,-4.143469671102212e-11
20260811-036,ablate-definitions,0,0.12254062202662087,0.013365597447862577,0.05981512957008624,0.06272549245653464
20260811-036,ablate-prior,1,0.030177831298597295,0.008046119400603804,0.05981512957008624,-0.029637298271488942
20260811-037,equiv-prose,1,0.000788463000889678,-6.9977551091143655e-19,0.0007884630423243723,-4.1434694325777344e-11
20260811-037,ablate-definitions,1,0.0009267213282982612,6.138133600588996e-06,0.0007884630423243723,0.00013825828597388893
20260811-036,equiv-evidence-first,0,0.051690079315754735,0.00035901682485792456,0.05981512957008624,-0.008125050254331502
20260811-036,ablate-prior,0,0.029975204125498065,0.008669024737778596,0.05981512957008624,-0.02983992544458817
20260811-037,ablate-prior,0,0.0007884630008895698,5.551076789430065e-17,0.0007884630423243723,-4.143480252915416e-11
20260811-037,ablate-evidence,1,0.02294641293785631,0.01721281408239155,0.0007884630423243723,0.022157949895531937
20260811-037,ablate-prior,1,0.0007884630008895698,5.551076789430065e-17,0.0007884630423243723,-4.143480252915416e-11
20260811-037,ablate-evidence,0,0.023225876708209362,0.017467062078524206,0.0007884630423243723,0.02243741366588499
20260811-038,ablate-prior,1,0.12405354540473201,0.0018913882774560687,0.15364430697783232,-0.02959076157310031
20260811-038,ablate-definitions,1,0.11056129482996488,0.005223851161136123,0.15364430697783232,-0.043083012147867444
20260811-038,ablate-definitions,0,0.10673861658729603,0.006244965917181907,0.15364430697783232,-0.0469056903905363
